Date,Rainfall_mm
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,4.8624344
2024-04-18,4.084445
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,2.4097545
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.16649872
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.48624346
2024-05-11,27.424131
2024-05-12,39.839413
2024-05-13,0.0
2024-05-14,3.3039315
2024-05-15,0.0
2024-05-16,12.447833
2024-05-17,3.403704
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,6.7614474
2024-05-21,0.5033427
2024-05-22,0.18163498
2024-05-23,0.3092171
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,66.724106
2024-06-06,9.177769
2024-06-07,14.177609
2024-06-08,0.1649527
2024-06-09,114.00236
2024-06-10,12.442798
2024-06-11,7.881691
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,2.1160908
2024-06-15,0.16167401
2024-06-16,0.5213658
2024-06-17,5.083833
